numero_facture,date_emission,date_echeance,date_paiement,code_client,code_produit,code_dept,quantite,prix_unitaire_ht,remise_pct,montant_ht,montant_tva,montant_ttc,statut_paiement,montant_encaisse,jours_retard,annee_emission,mois_emission,trimestre,date_id_emission,date_id_echeance,date_id_paiement,tranche_retard
FAC-2023-00040,2025-08-29,2025-10-13,2025-11-04,CLI-0048,SVC-022,DEPT-001,2,600.0,0,1200.0,240.0,1440.0,Payée,1200.0,22,2025,8,3,20250829,20251013,20251104.0,Retard < 30j
FAC-2023-00041,2023-05-03,2023-06-17,2023-07-03,CLI-0119,SVC-005,DEPT-001,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,16,2023,5,2,20230503,20230617,20230703.0,Retard < 30j
FAC-2023-00042,2025-05-16,2025-07-15,,CLI-0130,SVC-012,DEPT-003,1,3200.0,10,2880.0,576.0,3456.0,Retard,0.0,291,2025,5,2,20250516,20250715,,Contentieux > 90j
FAC-2023-00043,2024-12-21,2025-02-04,2025-03-01,CLI-0183,SVC-010,DEPT-002,7,45.0,0,315.0,63.0,378.0,Payée,315.0,25,2024,12,4,20241221,20250204,20250301.0,Retard < 30j
FAC-2023-00044,2025-01-22,2025-03-08,2025-03-17,CLI-0033,SVC-012,DEPT-004,1,3200.0,0,3200.0,640.0,3840.0,Payée,3200.0,9,2025,1,1,20250122,20250308,20250317.0,Retard < 30j
FAC-2023-00045,2023-02-23,2023-03-25,,CLI-0172,SVC-020,DEPT-003,10,1400.0,10,12600.0,2520.0,15120.0,Retard,0.0,1134,2023,2,1,20230223,20230325,,Contentieux > 90j
FAC-2023-00046,2024-07-13,2024-08-12,2024-08-28,CLI-0008,SVC-006,DEPT-003,1,450.0,5,427.5,85.5,513.0,Payée,427.5,16,2024,7,3,20240713,20240812,20240828.0,Retard < 30j
FAC-2023-00047,2023-10-21,2023-11-20,2023-11-24,CLI-0002,SVC-006,DEPT-001,1,450.0,0,450.0,90.0,540.0,Payée,450.0,4,2023,10,4,20231021,20231120,20231124.0,Retard < 30j
FAC-2023-00048,2025-12-22,2026-01-21,2026-01-26,CLI-0028,SVC-024,DEPT-003,4,700.0,0,2800.0,560.0,3360.0,Payée,2800.0,5,2025,12,4,20251222,20260121,20260126.0,Retard < 30j
FAC-2023-00049,2024-10-26,2024-12-10,,CLI-0098,SVC-024,DEPT-007,10,700.0,0,7000.0,1400.0,8400.0,Partielle,2644.53,508,2024,10,4,20241026,20241210,,Contentieux > 90j
FAC-2023-00050,2023-06-17,2023-07-17,2023-08-09,CLI-0015,SVC-022,DEPT-004,5,600.0,0,3000.0,600.0,3600.0,Payée,3000.0,23,2023,6,2,20230617,20230717,20230809.0,Retard < 30j
FAC-2023-00051,2025-11-15,2025-12-30,2026-01-12,CLI-0087,SVC-007,DEPT-007,1,1200.0,0,1200.0,240.0,1440.0,Payée,1200.0,13,2025,11,4,20251115,20251230,20260112.0,Retard < 30j
FAC-2023-00052,2024-09-23,2024-10-23,2024-10-23,CLI-0150,SVC-017,DEPT-001,1,950.0,0,950.0,190.0,1140.0,Payée,950.0,0,2024,9,3,20240923,20241023,20241023.0,Dans les délais
FAC-2023-00053,2024-03-08,2024-04-07,2024-04-22,CLI-0063,SVC-010,DEPT-001,50,45.0,0,2250.0,450.0,2700.0,Payée,2250.0,15,2024,3,1,20240308,20240407,20240422.0,Retard < 30j
FAC-2023-00054,2025-05-31,2025-06-30,2025-07-09,CLI-0002,SVC-016,DEPT-007,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,9,2025,5,2,20250531,20250630,20250709.0,Retard < 30j
FAC-2023-00055,2024-12-26,2025-01-25,,CLI-0172,SVC-022,DEPT-004,2,600.0,0,1200.0,240.0,1440.0,Retard,0.0,462,2024,12,4,20241226,20250125,,Contentieux > 90j
FAC-2023-00056,2023-06-09,2023-08-08,2023-08-28,CLI-0005,SVC-015,DEPT-004,1,2800.0,10,2520.0,504.0,3024.0,Payée,2520.0,20,2023,6,2,20230609,20230808,20230828.0,Retard < 30j
FAC-2023-00057,2025-04-09,2025-05-09,2025-06-02,CLI-0093,SVC-004,DEPT-003,1,1200.0,15,1020.0,204.0,1224.0,Payée,1020.0,24,2025,4,2,20250409,20250509,20250602.0,Retard < 30j
FAC-2023-00058,2023-08-05,2023-09-04,2023-09-04,CLI-0027,SVC-014,DEPT-004,4,1500.0,0,6000.0,1200.0,7200.0,Payée,6000.0,0,2023,8,3,20230805,20230904,20230904.0,Dans les délais
FAC-2023-00059,2024-11-26,2025-01-10,2025-02-06,CLI-0098,SVC-024,DEPT-001,4,700.0,0,2800.0,560.0,3360.0,Payée,2800.0,27,2024,11,4,20241126,20250110,20250206.0,Retard < 30j
FAC-2023-00060,2024-02-02,2024-03-03,2024-03-07,CLI-0163,SVC-017,DEPT-002,1,950.0,10,855.0,171.0,1026.0,Payée,855.0,4,2024,2,1,20240202,20240303,20240307.0,Retard < 30j
FAC-2023-00061,2024-06-08,2024-07-08,2024-07-08,CLI-0032,SVC-005,DEPT-002,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,0,2024,6,2,20240608,20240708,20240708.0,Dans les délais
FAC-2023-00062,2025-08-08,2025-09-22,,CLI-0192,SVC-016,DEPT-004,1,1800.0,5,1710.0,342.0,2052.0,Retard,0.0,222,2025,8,3,20250808,20250922,,Contentieux > 90j
FAC-2023-00063,2024-10-23,2024-12-22,2025-01-14,CLI-0173,SVC-021,DEPT-003,6,800.0,0,4800.0,960.0,5760.0,Payée,4800.0,23,2024,10,4,20241023,20241222,20250114.0,Retard < 30j
FAC-2023-00064,2023-04-26,2023-06-10,2023-07-03,CLI-0088,SVC-019,DEPT-001,13,180.0,0,2340.0,468.0,2808.0,Payée,2340.0,23,2023,4,2,20230426,20230610,20230703.0,Retard < 30j
FAC-2023-00065,2024-08-10,2024-09-24,,CLI-0017,SVC-012,DEPT-007,1,3200.0,0,3200.0,640.0,3840.0,Partielle,2328.47,585,2024,8,3,20240810,20240924,,Contentieux > 90j
FAC-2023-00066,2025-02-26,2025-03-28,2025-03-28,CLI-0181,SVC-017,DEPT-004,1,950.0,0,950.0,190.0,1140.0,Payée,950.0,0,2025,2,1,20250226,20250328,20250328.0,Dans les délais
FAC-2023-00067,2024-01-21,2024-03-06,2024-03-06,CLI-0175,SVC-021,DEPT-004,6,800.0,5,4560.0,912.0,5472.0,Payée,4560.0,0,2024,1,1,20240121,20240306,20240306.0,Dans les délais
FAC-2023-00068,2023-06-22,2023-07-22,2023-08-01,CLI-0032,SVC-011,DEPT-004,1,4500.0,0,4500.0,900.0,5400.0,Payée,4500.0,10,2023,6,2,20230622,20230722,20230801.0,Retard < 30j
FAC-2023-00069,2025-12-06,2026-01-05,2026-01-18,CLI-0138,SVC-017,DEPT-004,1,950.0,5,902.5,180.5,1083.0,Payée,902.5,13,2025,12,4,20251206,20260105,20260118.0,Retard < 30j
FAC-2023-00070,2023-04-18,2023-05-18,2023-05-18,CLI-0129,SVC-011,DEPT-003,1,4500.0,5,4275.0,855.0,5130.0,Payée,4275.0,0,2023,4,2,20230418,20230518,20230518.0,Dans les délais
FAC-2023-00071,2025-03-02,2025-04-01,,CLI-0029,SVC-018,DEPT-007,1,6500.0,0,6500.0,1300.0,7800.0,Retard,0.0,396,2025,3,1,20250302,20250401,,Contentieux > 90j
FAC-2023-00072,2023-06-16,2023-07-31,2023-08-17,CLI-0047,SVC-011,DEPT-003,1,4500.0,0,4500.0,900.0,5400.0,Payée,4500.0,17,2023,6,2,20230616,20230731,20230817.0,Retard < 30j
FAC-2023-00073,2023-06-23,2023-09-21,2023-10-07,CLI-0125,SVC-005,DEPT-002,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,16,2023,6,2,20230623,20230921,20231007.0,Retard < 30j
FAC-2023-00074,2025-05-17,2025-06-16,2025-06-30,CLI-0162,SVC-003,DEPT-002,1,22000.0,0,22000.0,4400.0,26400.0,Payée,22000.0,14,2025,5,2,20250517,20250616,20250630.0,Retard < 30j
FAC-2023-00075,2025-09-22,2025-10-22,,CLI-0065,SVC-011,DEPT-002,1,4500.0,0,4500.0,900.0,5400.0,Contentieux,0.0,192,2025,9,3,20250922,20251022,,Contentieux > 90j
FAC-2023-00076,2023-07-27,2023-08-26,,CLI-0023,SVC-010,DEPT-007,33,45.0,5,1410.75,282.15,1692.9,Retard,0.0,980,2023,7,3,20230727,20230826,,Contentieux > 90j
FAC-2023-00077,2024-11-20,2025-01-04,2025-01-09,CLI-0011,SVC-022,DEPT-002,10,600.0,0,6000.0,1200.0,7200.0,Payée,6000.0,5,2024,11,4,20241120,20250104,20250109.0,Retard < 30j
FAC-2023-00078,2025-06-15,2025-07-30,2025-08-09,CLI-0190,SVC-006,DEPT-004,1,450.0,0,450.0,90.0,540.0,Payée,450.0,10,2025,6,2,20250615,20250730,20250809.0,Retard < 30j
FAC-2023-00079,2025-07-08,2025-08-07,2025-09-01,CLI-0186,SVC-010,DEPT-002,15,45.0,0,675.0,135.0,810.0,Payée,675.0,25,2025,7,3,20250708,20250807,20250901.0,Retard < 30j
FAC-2023-00080,2025-06-21,2025-08-05,,CLI-0117,SVC-022,DEPT-007,8,600.0,5,4560.0,912.0,5472.0,Retard,0.0,270,2025,6,2,20250621,20250805,,Contentieux > 90j
FAC-2023-00081,2023-11-28,2023-12-28,2024-01-08,CLI-0163,SVC-014,DEPT-001,4,1500.0,10,5400.0,1080.0,6480.0,Payée,5400.0,11,2023,11,4,20231128,20231228,20240108.0,Retard < 30j
FAC-2023-00082,2025-01-30,2025-03-01,2025-03-29,CLI-0197,SVC-016,DEPT-001,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,28,2025,1,1,20250130,20250301,20250329.0,Retard < 30j
FAC-2023-00083,2023-11-25,2024-01-24,,CLI-0091,SVC-003,DEPT-004,1,22000.0,0,22000.0,4400.0,26400.0,Partielle,8220.84,829,2023,11,4,20231125,20240124,,Contentieux > 90j
FAC-2023-00084,2025-07-12,2025-08-11,,CLI-0028,SVC-008,DEPT-004,1,2500.0,10,2250.0,450.0,2700.0,Partielle,1141.76,264,2025,7,3,20250712,20250811,,Contentieux > 90j
FAC-2023-00085,2024-04-27,2024-05-27,2024-06-05,CLI-0155,SVC-012,DEPT-001,1,3200.0,0,3200.0,640.0,3840.0,Payée,3200.0,9,2024,4,2,20240427,20240527,20240605.0,Retard < 30j
FAC-2023-00086,2024-11-17,2025-01-01,2025-01-26,CLI-0101,SVC-004,DEPT-002,3,1200.0,0,3600.0,720.0,4320.0,Payée,3600.0,25,2024,11,4,20241117,20250101,20250126.0,Retard < 30j
FAC-2023-00087,2023-01-11,2023-02-10,2023-02-18,CLI-0146,SVC-015,DEPT-002,1,2800.0,10,2520.0,504.0,3024.0,Payée,2520.0,8,2023,1,1,20230111,20230210,20230218.0,Retard < 30j
FAC-2023-00088,2025-12-16,2026-01-30,2026-02-13,CLI-0169,SVC-024,DEPT-001,7,700.0,0,4900.0,980.0,5880.0,Payée,4900.0,14,2025,12,4,20251216,20260130,20260213.0,Retard < 30j
FAC-2023-00089,2025-05-09,2025-06-08,2025-06-08,CLI-0015,SVC-008,DEPT-001,1,2500.0,5,2375.0,475.0,2850.0,Payée,2375.0,0,2025,5,2,20250509,20250608,20250608.0,Dans les délais
FAC-2023-00090,2023-02-03,2023-03-20,,CLI-0154,SVC-020,DEPT-003,9,1400.0,0,12600.0,2520.0,15120.0,Retard,0.0,1139,2023,2,1,20230203,20230320,,Contentieux > 90j
FAC-2023-00091,2024-12-23,2025-01-22,2025-01-22,CLI-0135,SVC-001,DEPT-007,1,3500.0,0,3500.0,700.0,4200.0,Payée,3500.0,0,2024,12,4,20241223,20250122,20250122.0,Dans les délais
FAC-2023-00092,2025-12-13,2026-01-12,,CLI-0115,SVC-003,DEPT-007,1,22000.0,0,22000.0,4400.0,26400.0,Retard,0.0,110,2025,12,4,20251213,20260112,,Contentieux > 90j
FAC-2023-00093,2025-03-10,2025-04-09,2025-04-28,CLI-0170,SVC-001,DEPT-003,1,3500.0,10,3150.0,630.0,3780.0,Payée,3150.0,19,2025,3,1,20250310,20250409,20250428.0,Retard < 30j
FAC-2023-00094,2023-02-03,2023-03-05,2023-03-06,CLI-0080,SVC-024,DEPT-007,6,700.0,5,3990.0,798.0,4788.0,Payée,3990.0,1,2023,2,1,20230203,20230305,20230306.0,Retard < 30j
FAC-2023-00095,2023-04-01,2023-05-16,2023-05-22,CLI-0105,SVC-005,DEPT-004,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,6,2023,4,2,20230401,20230516,20230522.0,Retard < 30j
FAC-2023-00096,2024-01-09,2024-02-08,,CLI-0148,SVC-021,DEPT-004,3,800.0,0,2400.0,480.0,2880.0,Retard,0.0,814,2024,1,1,20240109,20240208,,Contentieux > 90j
FAC-2023-00097,2024-02-17,2024-04-02,,CLI-0011,SVC-010,DEPT-003,3,45.0,5,128.25,25.65,153.9,Partielle,58.71,760,2024,2,1,20240217,20240402,,Contentieux > 90j
FAC-2023-00098,2025-08-27,2025-09-26,2025-10-09,CLI-0158,SVC-013,DEPT-003,5,1100.0,0,5500.0,1100.0,6600.0,Payée,5500.0,13,2025,8,3,20250827,20250926,20251009.0,Retard < 30j
FAC-2023-00099,2024-11-10,2024-12-10,2024-12-30,CLI-0015,SVC-021,DEPT-004,5,800.0,0,4000.0,800.0,4800.0,Payée,4000.0,20,2024,11,4,20241110,20241210,20241230.0,Retard < 30j
FAC-2023-00100,2024-01-18,2024-03-03,2024-03-31,CLI-0123,SVC-011,DEPT-003,1,4500.0,0,4500.0,900.0,5400.0,Payée,4500.0,28,2024,1,1,20240118,20240303,20240331.0,Retard < 30j
FAC-2023-00101,2025-05-19,2025-06-18,,CLI-0026,SVC-024,DEPT-002,2,700.0,0,1400.0,280.0,1680.0,Contentieux,0.0,318,2025,5,2,20250519,20250618,,Contentieux > 90j
FAC-2023-00102,2024-10-19,2024-12-03,,CLI-0167,SVC-010,DEPT-003,7,45.0,0,315.0,63.0,378.0,Retard,0.0,515,2024,10,4,20241019,20241203,,Contentieux > 90j
FAC-2023-00103,2025-05-22,2025-06-21,2025-06-21,CLI-0140,SVC-020,DEPT-003,3,1400.0,5,3990.0,798.0,4788.0,Payée,3990.0,0,2025,5,2,20250522,20250621,20250621.0,Dans les délais
FAC-2023-00104,2024-07-16,2024-08-15,2024-09-02,CLI-0187,SVC-014,DEPT-007,1,1500.0,0,1500.0,300.0,1800.0,Payée,1500.0,18,2024,7,3,20240716,20240815,20240902.0,Retard < 30j
FAC-2023-00105,2023-10-20,2023-12-04,,CLI-0049,SVC-001,DEPT-004,1,3500.0,10,3150.0,630.0,3780.0,Retard,0.0,880,2023,10,4,20231020,20231204,,Contentieux > 90j
FAC-2023-00106,2023-05-18,2023-06-17,2023-07-05,CLI-0010,SVC-005,DEPT-004,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,18,2023,5,2,20230518,20230617,20230705.0,Retard < 30j
FAC-2023-00107,2023-11-11,2023-12-11,,CLI-0174,SVC-002,DEPT-001,1,8500.0,5,8075.0,1615.0,9690.0,Partielle,3924.5,873,2023,11,4,20231111,20231211,,Contentieux > 90j
FAC-2023-00108,2025-12-20,2026-02-03,2026-02-15,CLI-0175,SVC-005,DEPT-002,1,15000.0,0,15000.0,3000.0,18000.0,Payée,15000.0,12,2025,12,4,20251220,20260203,20260215.0,Retard < 30j
FAC-2023-00109,2024-01-17,2024-03-02,2024-04-01,CLI-0037,SVC-001,DEPT-001,1,3500.0,0,3500.0,700.0,4200.0,Payée,3500.0,30,2024,1,1,20240117,20240302,20240401.0,Retard < 30j
FAC-2023-00110,2025-07-02,2025-08-01,2025-08-27,CLI-0084,SVC-009,DEPT-002,1,180.0,0,180.0,36.0,216.0,Payée,180.0,26,2025,7,3,20250702,20250801,20250827.0,Retard < 30j
FAC-2023-00111,2023-06-01,2023-07-16,,CLI-0039,SVC-005,DEPT-001,1,15000.0,0,15000.0,3000.0,18000.0,Partielle,7838.33,1021,2023,6,2,20230601,20230716,,Contentieux > 90j
FAC-2023-00112,2024-12-12,2025-01-26,2025-02-09,CLI-0101,SVC-022,DEPT-002,2,600.0,0,1200.0,240.0,1440.0,Payée,1200.0,14,2024,12,4,20241212,20250126,20250209.0,Retard < 30j
FAC-2023-00113,2025-01-10,2025-03-11,2025-03-18,CLI-0196,SVC-006,DEPT-002,1,450.0,0,450.0,90.0,540.0,Payée,450.0,7,2025,1,1,20250110,20250311,20250318.0,Retard < 30j
FAC-2023-00114,2023-02-23,2023-04-24,2023-05-18,CLI-0074,SVC-016,DEPT-007,1,1800.0,0,1800.0,360.0,2160.0,Payée,1800.0,24,2023,2,1,20230223,20230424,20230518.0,Retard < 30j
FAC-2023-00115,2023-06-26,2023-08-10,,CLI-0042,SVC-020,DEPT-004,2,1400.0,0,2800.0,560.0,3360.0,Contentieux,0.0,996,2023,6,2,20230626,20230810,,Contentieux > 90j
FAC-2023-00116,2025-04-18,2025-05-18,,CLI-0162,SVC-014,DEPT-001,10,1500.0,0,15000.0,3000.0,18000.0,Contentieux,0.0,349,2025,4,2,20250418,20250518,,Contentieux > 90j
FAC-2023-00117,2025-11-25,2025-12-25,,CLI-0141,SVC-015,DEPT-007,1,2800.0,0,2800.0,560.0,3360.0,Partielle,1932.37,128,2025,11,4,20251125,20251225,,Contentieux > 90j
FAC-2023-00118,2025-06-05,2025-07-20,,CLI-0055,SVC-005,DEPT-007,1,15000.0,0,15000.0,3000.0,18000.0,Partielle,10735.43,286,2025,6,2,20250605,20250720,,Contentieux > 90j
FAC-2023-00119,2023-12-04,2024-01-18,,CLI-0048,SVC-010,DEPT-003,11,45.0,0,495.0,99.0,594.0,Retard,0.0,835,2023,12,4,20231204,20240118,,Contentieux > 90j
FAC-2023-00120,2023-06-11,2023-07-26,,CLI-0159,SVC-010,DEPT-003,17,45.0,0,765.0,153.0,918.0,Contentieux,0.0,1011,2023,6,2,20230611,20230726,,Contentieux > 90j
FAC-2023-00121,2024-09-12,2024-10-12,2024-10-17,CLI-0041,SVC-021,DEPT-007,10,800.0,0,8000.0,1600.0,9600.0,Payée,8000.0,5,2024,9,3,20240912,20241012,20241017.0,Retard < 30j
FAC-2023-00122,2023-12-17,2024-01-31,,CLI-0177,SVC-005,DEPT-007,1,15000.0,5,14250.0,2850.0,17100.0,Retard,0.0,822,2023,12,4,20231217,20240131,,Contentieux > 90j
FAC-2023-00123,2023-03-26,2023-05-25,,CLI-0107,SVC-019,DEPT-003,2,180.0,0,360.0,72.0,432.0,Partielle,246.78,1073,2023,3,1,20230326,20230525,,Contentieux > 90j
FAC-2023-00124,2025-05-03,2025-06-02,2025-07-01,CLI-0200,SVC-007,DEPT-003,1,1200.0,5,1140.0,228.0,1368.0,Payée,1140.0,29,2025,5,2,20250503,20250602,20250701.0,Retard < 30j
