numero_piece,date_charge,code_dept,categorie_charge,sous_categorie,fournisseur,nature_charge,montant_ht,montant_tva,montant_ttc,est_budgetee,date_id_charge,annee,mois
PCE-000040,2024-05-28,DEPT-005,Fournitures & Consommables,Fournitures de bureau,IT SOLUTIONS,Exploitation,1407.72,281.54,1689.26,0,20240528,2024,5
PCE-000041,2024-05-30,DEPT-001,Formation & Développement,Formations externes,FORMATION PLUS,Exploitation,2275.41,455.08,2730.49,0,20240530,2024,5
PCE-000042,2023-11-20,DEPT-008,Loyer & Charges locatives,Charges communes,MICROSOFT MADA,Exploitation,2060.17,0.0,2060.17,1,20231120,2023,11
PCE-000043,2025-05-18,DEPT-008,Loyer & Charges locatives,Charges communes,AGENCE VOYAGE,Exploitation,4646.07,0.0,4646.07,1,20250518,2025,5
PCE-000044,2024-09-28,DEPT-004,Salaires & Charges sociales,Avantages en nature,FORMATION PLUS,Exploitation,62956.85,0.0,62956.85,1,20240928,2024,9
PCE-000045,2025-10-07,DEPT-001,Formation & Développement,Abonnements professionnels,AGENCE VOYAGE,Exploitation,3379.06,675.81,4054.87,0,20251007,2025,10
PCE-000046,2024-09-11,DEPT-007,Déplacements & Missions,Hôtel & restauration,NETTOYAGE SERVICE,Exploitation,345.07,69.01,414.08,1,20240911,2024,9
PCE-000047,2023-06-03,DEPT-008,Loyer & Charges locatives,Charges communes,NETTOYAGE SERVICE,Exploitation,2238.3,0.0,2238.3,1,20230603,2023,6
PCE-000048,2023-04-17,DEPT-002,Formation & Développement,Formations externes,IT SOLUTIONS,Exploitation,592.09,118.42,710.51,0,20230417,2023,4
PCE-000049,2025-01-28,DEPT-004,Sous-traitance,Expertise externe,ORACLE,Exploitation,17235.0,3447.0,20682.0,1,20250128,2025,1
PCE-000050,2025-08-04,DEPT-003,Sous-traitance,Expertise externe,AGENCE VOYAGE,Exploitation,16282.21,3256.44,19538.65,1,20250804,2025,8
PCE-000051,2024-08-15,DEPT-006,Informatique & Licences,Matériel informatique,HOTEL COLBERT,Exploitation,13337.76,2667.55,16005.31,1,20240815,2024,8
PCE-000052,2025-06-08,DEPT-002,Sous-traitance,Prestations ponctuelles,FOURNITURES PRO,Exploitation,15296.66,3059.33,18355.99,0,20250608,2025,6
PCE-000053,2024-01-15,DEPT-006,Informatique & Licences,Matériel informatique,IT SOLUTIONS,Exploitation,3683.19,736.64,4419.83,1,20240115,2024,1
PCE-000054,2024-01-28,DEPT-007,Déplacements & Missions,Carburant,FORMATION PLUS,Exploitation,2916.69,583.34,3500.03,1,20240128,2024,1
PCE-000055,2025-11-22,DEPT-001,Déplacements & Missions,Hôtel & restauration,MICROSOFT MADA,Exploitation,259.76,51.95,311.71,0,20251122,2025,11
PCE-000056,2024-04-20,DEPT-002,Formation & Développement,Formations externes,ORANGE PRO,Exploitation,2085.27,417.05,2502.32,0,20240420,2024,4
PCE-000057,2025-01-22,DEPT-005,Fournitures & Consommables,Documentation,AGENCE VOYAGE,Exploitation,910.34,182.07,1092.41,1,20250122,2025,1
PCE-000058,2024-01-19,DEPT-001,Formation & Développement,Formations externes,ORACLE,Exploitation,3535.08,707.02,4242.1,1,20240119,2024,1
PCE-000059,2025-08-15,DEPT-001,Formation & Développement,Abonnements professionnels,TOTAL MADA,Exploitation,3739.62,747.92,4487.54,1,20250815,2025,8
PCE-000060,2025-09-08,DEPT-003,Déplacements & Missions,Carburant,ORACLE,Exploitation,1249.88,249.98,1499.86,0,20250908,2025,9
PCE-000061,2025-03-29,DEPT-001,Formation & Développement,Abonnements professionnels,AGENCE VOYAGE,Exploitation,1390.19,278.04,1668.23,1,20250329,2025,3
PCE-000062,2025-04-29,DEPT-002,Formation & Développement,Formations externes,SECURITE MADA,Exploitation,1063.61,212.72,1276.33,1,20250429,2025,4
PCE-000063,2025-01-04,DEPT-008,Informatique & Licences,Cloud & hébergement,TRANSPORT EXPRESS,Exploitation,1557.91,311.58,1869.49,1,20250104,2025,1
PCE-000064,2024-07-23,DEPT-008,Informatique & Licences,Cloud & hébergement,BAILLEUR IMMO,Exploitation,11349.66,2269.93,13619.59,1,20240723,2024,7
PCE-000065,2024-02-06,DEPT-001,Salaires & Charges sociales,Avantages en nature,BAILLEUR IMMO,Exploitation,66284.88,0.0,66284.88,1,20240206,2024,2
PCE-000066,2023-05-18,DEPT-008,Fournitures & Consommables,Fournitures de bureau,FORMATION PLUS,Exploitation,591.43,118.29,709.72,1,20230518,2023,5
PCE-000067,2024-12-26,DEPT-005,Formation & Développement,Formations externes,CONSULTANTS SA,Exploitation,993.8,198.76,1192.56,1,20241226,2024,12
PCE-000068,2025-10-16,DEPT-002,Déplacements & Missions,Hôtel & restauration,IBM MADA,Exploitation,1064.14,212.83,1276.97,1,20251016,2025,10
PCE-000069,2024-12-29,DEPT-003,Déplacements & Missions,Carburant,TOTAL MADA,Exploitation,2255.58,451.12,2706.7,1,20241229,2024,12
PCE-000070,2023-05-13,DEPT-006,Informatique & Licences,Matériel informatique,IBM MADA,Exploitation,7622.93,1524.59,9147.52,1,20230513,2023,5
PCE-000071,2023-10-03,DEPT-008,Informatique & Licences,Licences logiciels,TRANSPORT EXPRESS,Exploitation,6587.23,1317.45,7904.68,1,20231003,2023,10
PCE-000072,2023-12-20,DEPT-008,Loyer & Charges locatives,Loyer bureaux,FOURNITURES PRO,Exploitation,3298.88,0.0,3298.88,1,20231220,2023,12
PCE-000073,2025-06-22,DEPT-004,Salaires & Charges sociales,Charges patronales,NETTOYAGE SERVICE,Exploitation,9734.62,0.0,9734.62,1,20250622,2025,6
PCE-000074,2025-06-26,DEPT-008,Informatique & Licences,Matériel informatique,NETTOYAGE SERVICE,Exploitation,11254.99,2251.0,13505.99,0,20250626,2025,6
PCE-000075,2023-05-25,DEPT-006,Salaires & Charges sociales,Avantages en nature,AGENCE VOYAGE,Exploitation,72736.85,0.0,72736.85,1,20230525,2023,5
PCE-000076,2025-10-16,DEPT-008,Loyer & Charges locatives,Charges communes,CONSULTANTS SA,Exploitation,7346.89,0.0,7346.89,1,20251016,2025,10
PCE-000077,2024-02-26,DEPT-001,Sous-traitance,Prestations ponctuelles,FOURNITURES PRO,Exploitation,5533.51,1106.7,6640.21,0,20240226,2024,2
PCE-000078,2023-11-28,DEPT-007,Déplacements & Missions,Carburant,SECURITE MADA,Exploitation,2927.17,585.43,3512.6,1,20231128,2023,11
PCE-000079,2024-06-15,DEPT-006,Informatique & Licences,Licences logiciels,FOURNITURES PRO,Exploitation,10263.32,2052.66,12315.98,1,20240615,2024,6
PCE-000080,2023-02-08,DEPT-003,Sous-traitance,Prestations ponctuelles,ORANGE PRO,Exploitation,5625.63,1125.13,6750.76,1,20230208,2023,2
PCE-000081,2023-03-18,DEPT-002,Formation & Développement,Formations externes,ORACLE,Exploitation,4629.63,925.93,5555.56,1,20230318,2023,3
PCE-000082,2024-06-01,DEPT-001,Salaires & Charges sociales,Salaires bruts,FOURNITURES PRO,Exploitation,6780.18,0.0,6780.18,1,20240601,2024,6
PCE-000083,2025-05-15,DEPT-008,Informatique & Licences,Maintenance SI,FORMATION PLUS,Exploitation,1408.88,281.78,1690.66,1,20250515,2025,5
PCE-000084,2024-01-28,DEPT-004,Sous-traitance,Expertise externe,IBM MADA,Exploitation,4490.62,898.12,5388.74,1,20240128,2024,1
PCE-000085,2023-09-20,DEPT-002,Formation & Développement,Certifications,FORMATION PLUS,Exploitation,4831.9,966.38,5798.28,1,20230920,2023,9
PCE-000086,2024-06-07,DEPT-003,Déplacements & Missions,Transport,ORANGE PRO,Exploitation,796.53,159.31,955.84,1,20240607,2024,6
PCE-000087,2025-04-22,DEPT-001,Salaires & Charges sociales,Charges patronales,NETTOYAGE SERVICE,Exploitation,32091.74,0.0,32091.74,1,20250422,2025,4
PCE-000088,2023-01-04,DEPT-001,Déplacements & Missions,Transport,ORANGE PRO,Exploitation,383.78,76.76,460.54,1,20230104,2023,1
PCE-000089,2024-11-19,DEPT-008,Loyer & Charges locatives,Assurance locaux,ORACLE,Exploitation,4198.32,0.0,4198.32,1,20241119,2024,11
PCE-000090,2023-04-07,DEPT-008,Loyer & Charges locatives,Assurance locaux,FORMATION PLUS,Exploitation,6324.51,0.0,6324.51,1,20230407,2023,4
PCE-000091,2024-04-20,DEPT-008,Loyer & Charges locatives,Loyer bureaux,FORMATION PLUS,Exploitation,5580.78,0.0,5580.78,1,20240420,2024,4
PCE-000092,2025-09-28,DEPT-008,Salaires & Charges sociales,Avantages en nature,FOURNITURES PRO,Exploitation,33332.96,0.0,33332.96,1,20250928,2025,9
PCE-000093,2025-07-18,DEPT-004,Sous-traitance,Consultants,NETTOYAGE SERVICE,Exploitation,10331.02,2066.2,12397.22,1,20250718,2025,7
PCE-000094,2024-03-21,DEPT-002,Salaires & Charges sociales,Salaires bruts,SECURITE MADA,Exploitation,42507.58,0.0,42507.58,1,20240321,2024,3
PCE-000095,2023-06-22,DEPT-008,Loyer & Charges locatives,Assurance locaux,FORMATION PLUS,Exploitation,5198.19,0.0,5198.19,1,20230622,2023,6
PCE-000096,2023-11-26,DEPT-002,Sous-traitance,Expertise externe,ORACLE,Exploitation,1792.68,358.54,2151.22,1,20231126,2023,11
PCE-000097,2023-08-28,DEPT-008,Informatique & Licences,Licences logiciels,FORMATION PLUS,Exploitation,9010.47,1802.09,10812.56,1,20230828,2023,8
PCE-000098,2025-07-23,DEPT-005,Formation & Développement,Abonnements professionnels,FOURNITURES PRO,Exploitation,4227.35,845.47,5072.82,1,20250723,2025,7
PCE-000099,2023-03-04,DEPT-002,Formation & Développement,Certifications,SECURITE MADA,Exploitation,2743.84,548.77,3292.61,0,20230304,2023,3
PCE-000100,2023-03-24,DEPT-006,Informatique & Licences,Cloud & hébergement,IT SOLUTIONS,Exploitation,4095.64,819.13,4914.77,1,20230324,2023,3
PCE-000101,2024-10-15,DEPT-001,Déplacements & Missions,Carburant,FORMATION PLUS,Exploitation,1628.0,325.6,1953.6,1,20241015,2024,10
PCE-000102,2024-05-03,DEPT-006,Informatique & Licences,Cloud & hébergement,IT SOLUTIONS,Exploitation,10094.29,2018.86,12113.15,1,20240503,2024,5
PCE-000103,2024-09-18,DEPT-006,Informatique & Licences,Maintenance SI,ORANGE PRO,Exploitation,9213.78,1842.76,11056.54,1,20240918,2024,9
PCE-000104,2024-10-09,DEPT-005,Formation & Développement,Abonnements professionnels,BAILLEUR IMMO,Exploitation,1632.48,326.5,1958.98,0,20241009,2024,10
PCE-000105,2025-05-11,DEPT-001,Sous-traitance,Prestations ponctuelles,HOTEL COLBERT,Exploitation,18031.7,3606.34,21638.04,1,20250511,2025,5
PCE-000106,2023-06-02,DEPT-002,Formation & Développement,Abonnements professionnels,ORACLE,Exploitation,3954.78,790.96,4745.74,1,20230602,2023,6
PCE-000107,2023-04-23,DEPT-008,Loyer & Charges locatives,Assurance locaux,BAILLEUR IMMO,Exploitation,6120.7,0.0,6120.7,1,20230423,2023,4
PCE-000108,2024-03-24,DEPT-001,Sous-traitance,Consultants,SECURITE MADA,Exploitation,13801.62,2760.32,16561.94,1,20240324,2024,3
PCE-000109,2025-04-26,DEPT-005,Fournitures & Consommables,Documentation,TRANSPORT EXPRESS,Exploitation,738.45,147.69,886.14,1,20250426,2025,4
PCE-000110,2023-10-05,DEPT-005,Formation & Développement,Abonnements professionnels,TOTAL MADA,Exploitation,4887.3,977.46,5864.76,0,20231005,2023,10
PCE-000111,2023-10-14,DEPT-003,Déplacements & Missions,Transport,SECURITE MADA,Exploitation,2101.58,420.32,2521.9,1,20231014,2023,10
PCE-000112,2024-09-27,DEPT-001,Sous-traitance,Expertise externe,ORACLE,Exploitation,10395.31,2079.06,12474.37,0,20240927,2024,9
PCE-000113,2023-08-05,DEPT-007,Déplacements & Missions,Carburant,TRANSPORT EXPRESS,Exploitation,2126.63,425.33,2551.96,1,20230805,2023,8
PCE-000114,2024-07-26,DEPT-005,Salaires & Charges sociales,Avantages en nature,AGENCE VOYAGE,Exploitation,12108.38,0.0,12108.38,1,20240726,2024,7
PCE-000115,2025-09-17,DEPT-003,Déplacements & Missions,Transport,AGENCE VOYAGE,Exploitation,429.09,85.82,514.91,1,20250917,2025,9
PCE-000116,2024-08-21,DEPT-008,Loyer & Charges locatives,Loyer bureaux,TRANSPORT EXPRESS,Exploitation,3803.71,0.0,3803.71,1,20240821,2024,8
PCE-000117,2025-04-28,DEPT-006,Informatique & Licences,Licences logiciels,FOURNITURES PRO,Exploitation,7315.27,1463.05,8778.32,1,20250428,2025,4
PCE-000118,2025-08-12,DEPT-002,Déplacements & Missions,Hôtel & restauration,HOTEL COLBERT,Exploitation,2380.05,476.01,2856.06,1,20250812,2025,8
PCE-000119,2023-04-07,DEPT-002,Sous-traitance,Expertise externe,HOTEL COLBERT,Exploitation,14165.82,2833.16,16998.98,0,20230407,2023,4
PCE-000120,2023-10-03,DEPT-008,Loyer & Charges locatives,Assurance locaux,CONSULTANTS SA,Exploitation,3847.75,0.0,3847.75,1,20231003,2023,10
PCE-000121,2025-09-15,DEPT-005,Fournitures & Consommables,Fournitures de bureau,FORMATION PLUS,Exploitation,1020.18,204.04,1224.22,1,20250915,2025,9
PCE-000122,2023-04-27,DEPT-001,Sous-traitance,Consultants,HOTEL COLBERT,Exploitation,5954.86,1190.97,7145.83,0,20230427,2023,4
PCE-000123,2025-10-21,DEPT-008,Fournitures & Consommables,Consommables informatique,NETTOYAGE SERVICE,Exploitation,1406.9,281.38,1688.28,1,20251021,2025,10
PCE-000124,2023-11-26,DEPT-005,Fournitures & Consommables,Fournitures de bureau,IT SOLUTIONS,Exploitation,497.08,99.42,596.5,1,20231126,2023,11
PCE-000125,2024-01-28,DEPT-001,Formation & Développement,Formations externes,MICROSOFT MADA,Exploitation,766.35,153.27,919.62,1,20240128,2024,1
PCE-000126,2023-06-21,DEPT-008,Loyer & Charges locatives,Charges communes,ORANGE PRO,Exploitation,6884.43,0.0,6884.43,1,20230621,2023,6
PCE-000127,2023-09-13,DEPT-005,Fournitures & Consommables,Consommables informatique,TOTAL MADA,Exploitation,332.47,66.49,398.96,1,20230913,2023,9
PCE-000128,2024-05-18,DEPT-008,Salaires & Charges sociales,Charges patronales,IBM MADA,Exploitation,25342.04,0.0,25342.04,1,20240518,2024,5
PCE-000129,2023-11-13,DEPT-002,Formation & Développement,Certifications,ORACLE,Exploitation,2093.45,418.69,2512.14,1,20231113,2023,11
PCE-000130,2024-11-08,DEPT-002,Salaires & Charges sociales,Avantages en nature,FORMATION PLUS,Exploitation,20748.87,0.0,20748.87,1,20241108,2024,11
PCE-000131,2024-02-25,DEPT-008,Loyer & Charges locatives,Loyer bureaux,FORMATION PLUS,Exploitation,2740.83,0.0,2740.83,1,20240225,2024,2
PCE-000132,2023-08-21,DEPT-001,Salaires & Charges sociales,Avantages en nature,MICROSOFT MADA,Exploitation,49390.45,0.0,49390.45,1,20230821,2023,8
PCE-000133,2025-02-15,DEPT-007,Salaires & Charges sociales,Avantages en nature,CONSULTANTS SA,Exploitation,5868.52,0.0,5868.52,1,20250215,2025,2
PCE-000134,2023-04-19,DEPT-008,Loyer & Charges locatives,Loyer bureaux,ORANGE PRO,Exploitation,6704.36,0.0,6704.36,1,20230419,2023,4
PCE-000135,2024-09-25,DEPT-001,Formation & Développement,Certifications,FORMATION PLUS,Exploitation,1691.5,338.3,2029.8,1,20240925,2024,9
PCE-000136,2025-01-18,DEPT-008,Loyer & Charges locatives,Charges communes,SECURITE MADA,Exploitation,6897.81,0.0,6897.81,1,20250118,2025,1
PCE-000137,2023-09-03,DEPT-003,Déplacements & Missions,Carburant,SECURITE MADA,Exploitation,546.34,109.27,655.61,1,20230903,2023,9
PCE-000138,2024-09-29,DEPT-005,Fournitures & Consommables,Documentation,ORACLE,Exploitation,478.19,95.64,573.83,1,20240929,2024,9
PCE-000139,2024-11-05,DEPT-003,Sous-traitance,Prestations ponctuelles,MICROSOFT MADA,Exploitation,6977.09,1395.42,8372.51,1,20241105,2024,11
PCE-000140,2025-12-21,DEPT-003,Déplacements & Missions,Transport,FOURNITURES PRO,Exploitation,556.31,111.26,667.57,1,20251221,2025,12
PCE-000141,2024-07-06,DEPT-005,Salaires & Charges sociales,Salaires bruts,MICROSOFT MADA,Exploitation,68863.58,0.0,68863.58,1,20240706,2024,7
PCE-000142,2024-01-28,DEPT-003,Sous-traitance,Prestations ponctuelles,IBM MADA,Exploitation,3537.76,707.55,4245.31,1,20240128,2024,1
PCE-000143,2024-12-13,DEPT-003,Sous-traitance,Prestations ponctuelles,MICROSOFT MADA,Exploitation,10712.35,2142.47,12854.82,0,20241213,2024,12
PCE-000144,2025-11-26,DEPT-008,Fournitures & Consommables,Consommables informatique,TOTAL MADA,Exploitation,142.36,28.47,170.83,1,20251126,2025,11
PCE-000145,2025-10-15,DEPT-004,Sous-traitance,Expertise externe,BAILLEUR IMMO,Exploitation,14605.36,2921.07,17526.43,1,20251015,2025,10
PCE-000146,2024-08-26,DEPT-008,Informatique & Licences,Maintenance SI,HOTEL COLBERT,Exploitation,13725.0,2745.0,16470.0,1,20240826,2024,8
PCE-000147,2025-09-15,DEPT-003,Déplacements & Missions,Carburant,AGENCE VOYAGE,Exploitation,908.71,181.74,1090.45,0,20250915,2025,9
PCE-000148,2024-05-17,DEPT-006,Informatique & Licences,Licences logiciels,AGENCE VOYAGE,Exploitation,991.9,198.38,1190.28,1,20240517,2024,5
PCE-000149,2025-03-02,DEPT-003,Salaires & Charges sociales,Charges patronales,ORACLE,Exploitation,47622.5,0.0,47622.5,1,20250302,2025,3
PCE-000150,2025-06-08,DEPT-008,Fournitures & Consommables,Consommables informatique,SECURITE MADA,Exploitation,276.27,55.25,331.52,1,20250608,2025,6
PCE-000151,2024-03-01,DEPT-008,Informatique & Licences,Cloud & hébergement,FORMATION PLUS,Exploitation,7704.17,1540.83,9245.0,1,20240301,2024,3
PCE-000152,2025-02-16,DEPT-001,Sous-traitance,Expertise externe,IT SOLUTIONS,Exploitation,1393.26,278.65,1671.91,1,20250216,2025,2
PCE-000153,2024-06-04,DEPT-003,Sous-traitance,Consultants,SECURITE MADA,Exploitation,1462.79,292.56,1755.35,1,20240604,2024,6
PCE-000154,2024-02-10,DEPT-008,Informatique & Licences,Licences logiciels,CONSULTANTS SA,Exploitation,9244.26,1848.85,11093.11,1,20240210,2024,2
PCE-000155,2024-03-31,DEPT-003,Sous-traitance,Consultants,TOTAL MADA,Exploitation,3685.37,737.07,4422.44,0,20240331,2024,3
PCE-000156,2023-10-21,DEPT-001,Déplacements & Missions,Carburant,HOTEL COLBERT,Exploitation,1311.99,262.4,1574.39,1,20231021,2023,10
PCE-000157,2024-02-17,DEPT-006,Informatique & Licences,Matériel informatique,MICROSOFT MADA,Exploitation,2303.44,460.69,2764.13,1,20240217,2024,2
PCE-000158,2023-05-01,DEPT-008,Informatique & Licences,Matériel informatique,FORMATION PLUS,Exploitation,9911.73,1982.35,11894.08,1,20230501,2023,5
PCE-000159,2025-11-07,DEPT-001,Formation & Développement,Formations externes,HOTEL COLBERT,Exploitation,4704.9,940.98,5645.88,1,20251107,2025,11
PCE-000160,2025-01-02,DEPT-008,Fournitures & Consommables,Fournitures de bureau,SECURITE MADA,Exploitation,317.41,63.48,380.89,0,20250102,2025,1
PCE-000161,2025-10-19,DEPT-004,Sous-traitance,Prestations ponctuelles,ORACLE,Exploitation,12239.08,2447.82,14686.9,1,20251019,2025,10
PCE-000162,2024-09-19,DEPT-008,Informatique & Licences,Cloud & hébergement,NETTOYAGE SERVICE,Exploitation,9265.21,1853.04,11118.25,1,20240919,2024,9
PCE-000163,2025-11-04,DEPT-002,Déplacements & Missions,Carburant,ORANGE PRO,Exploitation,2652.37,530.47,3182.84,1,20251104,2025,11
PCE-000164,2024-08-12,DEPT-002,Déplacements & Missions,Hôtel & restauration,TRANSPORT EXPRESS,Exploitation,2106.95,421.39,2528.34,0,20240812,2024,8
PCE-000165,2025-12-19,DEPT-005,Salaires & Charges sociales,Salaires bruts,MICROSOFT MADA,Exploitation,22143.63,0.0,22143.63,1,20251219,2025,12
PCE-000166,2024-03-03,DEPT-008,Loyer & Charges locatives,Charges communes,AGENCE VOYAGE,Exploitation,4364.83,0.0,4364.83,1,20240303,2024,3
PCE-000167,2025-08-03,DEPT-001,Salaires & Charges sociales,Avantages en nature,ORACLE,Exploitation,35649.13,0.0,35649.13,1,20250803,2025,8
PCE-000168,2024-07-23,DEPT-006,Salaires & Charges sociales,Salaires bruts,ORANGE PRO,Exploitation,59630.07,0.0,59630.07,1,20240723,2024,7
PCE-000169,2025-02-12,DEPT-008,Loyer & Charges locatives,Loyer bureaux,BAILLEUR IMMO,Exploitation,3388.44,0.0,3388.44,1,20250212,2025,2
PCE-000170,2023-10-06,DEPT-003,Salaires & Charges sociales,Salaires bruts,HOTEL COLBERT,Exploitation,58051.21,0.0,58051.21,1,20231006,2023,10
PCE-000171,2024-08-20,DEPT-003,Sous-traitance,Expertise externe,SECURITE MADA,Exploitation,13904.25,2780.85,16685.1,1,20240820,2024,8
PCE-000172,2023-10-04,DEPT-008,Fournitures & Consommables,Consommables informatique,HOTEL COLBERT,Exploitation,719.29,143.86,863.15,0,20231004,2023,10
PCE-000173,2024-07-12,DEPT-003,Sous-traitance,Prestations ponctuelles,ORACLE,Exploitation,4468.65,893.73,5362.38,0,20240712,2024,7
